web-scraper-order,web-scraper-start-url,category,category-href,product,product-href,product_name,product_description,product_price,product_color,product_image-src,sub_category
1720555643-14,https://stockx.com/sneakers/most-popular,Apparel,https://stockx.com/apparel,Fear of God Essentials Arch Logo Hoodie Jet BlackLowest AskCA$88,https://stockx.com/fear-of-god-essentials-hoodie-black,Fear of God Essentials Arch Logo Hoodie,"The Fear of God Essentials hoodie has been redesigned with increased volume in the body and sleeves, creating a soft, round, cropped silhouette. New details include a mock neckline and side seam pockets to provide functionality. The curved Essentials Fear of God logo is vintage-inspired but updated in a rubberized soft-touch applique. A new Fear of God rubberized label is on the hood.",88,Jet Black,https://images.stockx.com/images/Fear-of-God-Essentials-Hoodie-Black.jpg?fit=fill&bg=FFFFFF&w=576&h=384&fm=avif&auto=compress&dpr=2&trim=color&updated_at=1686151910&q=60,Fear of God
1720555646-15,https://stockx.com/sneakers/most-popular,Apparel,https://stockx.com/apparel,Fear of God Essentials Hoodie (2022) Dark OatmealLowest AskCA$91,https://stockx.com/fear-of-god-essentials-hoodie-ss22-dark-oatmeal,Fear of God Essentials Hoodie (2022),"As a part of their Spring/Summer 2022 collection, Fear of God Essentials issued more than 150 different articles of clothing, including this Fear of God Essentials Relaxed Hoodie in a dark oatmeal.




The hoodie comes in normal size and is cut with a looser silhouette. This hoodie has been a new style that is roomier and more voluminous, and it also has The Fear of God Essentials brand emblem on the breast. This release included a sweatshirt that was created from heavyweight cotton and polyester fleece material.




On June 15, 2022, Fear of God introduced their Essentials Hoodie (SS22), which had a suggested retail price of $90.",91,Dark Oatmeal,https://images.stockx.com/images/Fear-of-God-Essentials-Hoodie-FW22-Dark-Oatmeal.jpg?fit=fill&bg=FFFFFF&w=576&h=384&fm=avif&auto=compress&dpr=2&trim=color&updated_at=1677865855&q=60,Fear of God
1720555648-16,https://stockx.com/sneakers/most-popular,Apparel,https://stockx.com/apparel,Fear of God Essentials Hoodie Light OatmealLowest AskCA$91,https://stockx.com/fear-of-god-essentials-hoodie-fw22-light-oatmeal,Fear of God Essentials Hoodie,"The Fear of God Essentials Hoodie FW22 Light Oatmeal is a collaboratively designed hoodie that was included in the brand's fall collection.
​
​The Fear of God Essential Hoodie is a long-sleeved garment made of cotton fabric. Other details include a crew neckline, two kangaroo pockets on the front, and a stretched over-size fit. Rounding out the design is the Essential signature applique logo on top of the Fear Of God branding embroidered on the chest.
​
​The Fear of God Essentials Hoodie FW22 Light Oatmeal was made available at the retail price of $90 on November 16th, 2022.",91,Light Oatmeal,https://images.stockx.com/images/Fear-of-God-Essentials-Hoodie-FW22-Light-Oatmeal.jpg?fit=fill&bg=FFFFFF&w=576&h=384&fm=avif&auto=compress&dpr=2&trim=color&updated_at=1668620623&q=60,Fear of God
1720555651-17,https://stockx.com/sneakers/most-popular,Apparel,https://stockx.com/apparel,SKIMS Swim Sarong Skirt OchreLowest AskCA$224,https://stockx.com/skims-swim-sarong-skirt-ochre,SKIMS Swim Sarong Skirt,NA,224,NA,https://images.stockx.com/images/SKIMS-Swim-Sarong-Skirt-Ochre.jpg?fit=fill&bg=FFFFFF&w=576&h=384&fm=avif&auto=compress&dpr=2&trim=color&updated_at=1647875262&q=60,Other Brands
1720555653-18,https://stockx.com/sneakers/most-popular,Apparel,https://stockx.com/apparel,Travis Scott Utopia Echoes Circus Maximus Tee BlackLowest AskCA$117,https://stockx.com/travis-scott-utopia-echoes-circus-maximus-tee-black,Travis Scott Utopia Echoes Circus Maximus Tee,NA,117,NA,https://images.stockx.com/images/Travis-Scott-Utopia-Echoes-Circus-Maximus-Tee-Black.jpg?fit=fill&bg=FFFFFF&w=576&h=384&fm=avif&auto=compress&dpr=2&trim=color&updated_at=1701191907&q=60,Artist Merch
1720555655-19,https://stockx.com/sneakers/most-popular,Apparel,https://stockx.com/apparel,Palace Pen Pals Jersey BlackLowest AskCA$268,https://stockx.com/palace-pen-pals-jersey-black,Palace Pen Pals Jersey,NA,268,NA,https://images.stockx.com/images/Palace-Pen-Pals-Jersey-Black.jpg?fit=fill&bg=FFFFFF&w=576&h=384&fm=avif&auto=compress&dpr=2&trim=color&updated_at=1718970629&q=60,Palace
1720555658-20,https://stockx.com/sneakers/most-popular,Apparel,https://stockx.com/apparel,Gallery Dept. Souvenir T-shirt Lime GreenLowest AskCA$333,https://stockx.com/gallery-dept-souvenir-t-shirt-lime-green,Gallery Dept. Souvenir T-shirt,"The Gallery Dept. Souvenir T-shirt Lime Green is made of a 100% cotton material in a lime-green colorway.




This Souvenir T-shirt has a squared shape and small black screen-printed symbol for the Gallery Dept on the left side of the chest. In addition, the back has a similar but larger emblem with ""Hollywood, CA"" printed directly below it. The garment also has a relaxed fit design with a round neck, short sleeves, and a straight flat hem.




The Gallery Dept. Souvenir T-shirt Lime Green was released on the 15th of June 2022. Upon its debut, its retail price was set at $250.",333,VST-1047,https://images.stockx.com/images/Gallery-Dept-Souvenir-T-shirt-Lime-Green.jpg?fit=fill&bg=FFFFFF&w=576&h=384&fm=avif&auto=compress&dpr=2&trim=color&updated_at=1643170270&q=60,Artist Merch
1720555660-21,https://stockx.com/sneakers/most-popular,Apparel,https://stockx.com/apparel,Stussy x Patta Boxing Short BlackLowest AskCA$301,https://stockx.com/stussy-x-patta-boxing-short-black,Stussy x Patta Boxing Short,NA,301,NA,https://images.stockx.com/images/Stussy-x-Patta-Boxing-Short-Black.jpg?fit=fill&bg=FFFFFF&w=576&h=384&fm=avif&auto=compress&dpr=2&trim=color&updated_at=1717779967&q=60,Stussy
1720555663-22,https://stockx.com/sneakers/most-popular,Apparel,https://stockx.com/apparel,Kith TaylorMade Tips Camp Collar Shirt MultiLowest AskCA$483,https://stockx.com/kith-taylormade-tips-camp-collar-shirt-multi,Kith TaylorMade Tips Camp Collar Shirt,NA,483,NA,https://images.stockx.com/images/Kith-TaylorMade-Tips-Camp-Collar-Shirt-Multi.jpg?fit=fill&bg=FFFFFF&w=576&h=384&fm=avif&auto=compress&dpr=2&trim=color&updated_at=1717775949&q=60,Kith
1720555665-23,https://stockx.com/sneakers/most-popular,Apparel,https://stockx.com/apparel,Burberry Check Drawcord Swim Shorts Archive BeigeLowest AskCA$458,https://stockx.com/burberry-check-drawcord-swim-shorts-archive-beige,Burberry Check Drawcord Swim Shorts,"Burberry has released a variety of men's swim shorts over the years, with almost all of them featuring the iconic Burberry check pattern on them. The Burberry Check Drawcord Swim Shorts Archive Beige stuck to this script when they were unveiled as part of Burberry's Spring/Summer 2022 collection.




These swim shorts featured an elastic waistband with a draw cord on the interior and a relaxed fit that made them extra comfortable to wear. They also included side slip pockets, a back pocket with a zipper, and a mesh lining.




But the thing that stood out about these swim shorts was that they had the same Burberry check pattern that so many other Burberry swim shorts have had. We think it gave them a higher-end appearance and made them look even more fashionable than they would have otherwise. The Burberry Check Drawcord Swim Shorts Archive Beige were released in 2022 and retailed for $480.",458,Archive Beige,https://images.stockx.com/images/Burberry-Check-Drawcord-Swim-Shorts-Archive-Beige.jpg?fit=fill&bg=FFFFFF&w=576&h=384&fm=avif&auto=compress&dpr=2&trim=color&updated_at=1652490622&q=60,Other Brands
1720555670-24,https://stockx.com/sneakers/most-popular,Apparel,https://stockx.com/apparel,"Nike x Patta Running Team Varsity Jacket Black/Yellow/WhiteLowest AskCA$1,000",https://stockx.com/nike-x-patta-running-team-varsity-jacket-black-yellow-white,Nike x Patta Running Team Varsity Jacket,NA,"1,000",NA,https://images.stockx.com/images/Nike-x-Patta-Running-Team-Varsity-Jacket-Black-Yellow-White-2-v2.jpg?fit=fill&bg=FFFFFF&w=576&h=384&fm=avif&auto=compress&dpr=2&trim=color&updated_at=1714661527&q=60,Nike Apparel
1720555672-25,https://stockx.com/sneakers/most-popular,Apparel,https://stockx.com/apparel,Nike SB x Di'Orr Greenwood L/S Max90 Fleece Hoodie BlackLowest AskCA$192,https://stockx.com/nike-sb-x-diorr-greenwood-l-s-max90-fleece-hoodie-black,Nike SB x Di'Orr Greenwood L/S Max90 Fleece Hoodie,NA,192,NA,https://images.stockx.com/images/Nike-SB-x-DiOrr-Greenwood-L-S-Max90-Fleece-Hoodie-Black-v2.jpg?fit=fill&bg=FFFFFF&w=576&h=384&fm=avif&auto=compress&dpr=2&trim=color&updated_at=1717680479&q=60,Nike Apparel
1720555675-26,https://stockx.com/sneakers/most-popular,Apparel,https://stockx.com/apparel,Supreme Mosaic S S Shirt MulticolorLowest AskCA$286,https://stockx.com/supreme-mosaic-s-s-shirt-multicolor,Supreme Mosaic S/S Shirt,NA,286,NA,https://images.stockx.com/images/Supreme-Mosaic-S-S-Shirt-Multicolor.jpg?fit=fill&bg=FFFFFF&w=576&h=384&fm=avif&auto=compress&dpr=2&trim=color&updated_at=1714051019&q=60,Supreme
1720555678-27,https://stockx.com/sneakers/most-popular,Apparel,https://stockx.com/apparel,Palace x Stella Artois T-Shirt BlackLowest AskCA$202,https://stockx.com/palace-x-stella-artois-t-shirt-black,Palace x Stella Artois T-Shirt,NA,202,NA,https://images.stockx.com/images/Palace-x-Stella-Artois-T-Shirt-Black.jpg?fit=fill&bg=FFFFFF&w=576&h=384&fm=avif&auto=compress&dpr=2&trim=color&updated_at=1719583143&q=60,Palace
1720555680-28,https://stockx.com/sneakers/most-popular,Apparel,https://stockx.com/apparel,Hellstar Pixel T-Shirt WhiteLowest AskCA$420,https://stockx.com/hellstar-pixel-t-shirt-white,Hellstar Pixel T-Shirt,"Our lightest weight t-shirt, made with custom milled jersey cotton, finished with a vintage wash and manufactured in Los Angeles. This garment features Hellstar Pixel graphics jumbo screen printed on the chest and back. Order true size.",420,White,https://images.stockx.com/images/Hellstar-Pixel-T-Shirt-White.jpg?fit=fill&bg=FFFFFF&w=576&h=384&fm=avif&auto=compress&dpr=2&trim=color&updated_at=1692432902&q=60,Other Brands
1720555682-29,https://stockx.com/sneakers/most-popular,Apparel,https://stockx.com/apparel,Kith Shadow Stripe Marcel Soccer Jersey RaveLowest AskCA$256,https://stockx.com/kith-shadow-stripe-marcel-soccer-jersey-rave,Kith Shadow Stripe Marcel Soccer Jersey,NA,256,NA,https://images.stockx.com/images/Kith-Shadow-Stripe-Marcel-Soccer-Jersey-Rave.jpg?fit=fill&bg=FFFFFF&w=576&h=384&fm=avif&auto=compress&dpr=2&trim=color&updated_at=1718025633&q=60,Kith
1720555685-30,https://stockx.com/sneakers/most-popular,Apparel,https://stockx.com/apparel,Jordan x Nina Chanel Abney Fleece Hoodie Green StoneLowest AskCA$217,https://stockx.com/nike-x-nina-chanel-fleece-hoodie-green-stone,Jordan x Nina Chanel Abney Fleece Hoodie,NA,217,NA,https://images.stockx.com/images/Nike-x-Nina-Chanel-Fleece-Hoodie-Green-Stone.jpg?fit=fill&bg=FFFFFF&w=576&h=384&fm=avif&auto=compress&dpr=2&trim=color&updated_at=1718300539&q=60,Other Brands
1720555687-31,https://stockx.com/sneakers/most-popular,Apparel,https://stockx.com/apparel,Supreme Nike Ripstop Pullover BlackLowest AskCA$308,https://stockx.com/supreme-nike-ripstop-pullover-black,Supreme Nike Ripstop Pullover,NA,308,NA,https://images.stockx.com/images/Supreme-Nike-Ripstop-Pullover-Black.jpg?fit=fill&bg=FFFFFF&w=576&h=384&fm=avif&auto=compress&dpr=2&trim=color&updated_at=1713452009&q=60,Supreme
1720555690-32,https://stockx.com/sneakers/most-popular,Apparel,https://stockx.com/apparel,Supreme Maradona Soccer Jersey MulticolorLowest AskCA$232,https://stockx.com/supreme-maradona-soccer-jersey-multicolor,Supreme Maradona Soccer Jersey,"The Supreme Maradona Soccer Jersey Multicolor is a vibrant poly mesh jersey adorned with printed graphics on both the front and back.




Constructed from breathable poly mesh material, this jersey ensures comfort during wear. It follows a traditional soccer jersey cut, featuring a round neck and short sleeves for a sporty yet fashionable appearance. The jersey's multicolor palette showcases an image of the soccer icon, along with his autograph and name printed in Old English calligraphy. Surrounding the image are white and blue stripes, paying homage to the colors of Argentina's national soccer team.




The standout feature of the Supreme Maradona Soccer Jersey Multicolor lies in its lively multicolor design, coupled with the printed graphics on both sides. This limited edition jersey serves as a tribute to the legendary football icon Diego Maradona, celebrating his enduring legacy both on and off the pitch while seamlessly blending style with sporting heritage. The jersey debuted for $110 on April 4, 2024.",232,Multicolor,https://images.stockx.com/images/Supreme-Maradona-Soccer-Jersey-Multicolor.jpg?fit=fill&bg=FFFFFF&w=576&h=384&fm=avif&auto=compress&dpr=2&trim=color&updated_at=1712240887&q=60,Supreme
1720555692-33,https://stockx.com/sneakers/most-popular,Apparel,https://stockx.com/apparel,Supreme Jacquard Soccer Jersey BlackLowest AskCA$311,https://stockx.com/supreme-jacquard-soccer-jersey-black,Supreme Jacquard Soccer Jersey,NA,311,NA,https://images.stockx.com/images/Supreme-Jacquard-Soccer-Jersey-Black.jpg?fit=fill&bg=FFFFFF&w=576&h=384&fm=avif&auto=compress&dpr=2&trim=color&updated_at=1718895962&q=60,Supreme
1720555695-34,https://stockx.com/sneakers/most-popular,Apparel,https://stockx.com/apparel,Nike x NOCTA L'Art Racing Jacket Deep Royal Blue/Racer Blue/PhantomLowest AskCA$435,https://stockx.com/nike-x-nocta-lart-racing-jacket-deep-royal-blue-racer-blue-phantom,Nike x NOCTA L'Art Racing Jacket,"The Nike x NOCTA L'Art Racing Jacket Deep Royal Blue/Racer Blue/Phantom is a racing style jacket in two shades of blue with a zipper front and a snap placket. Nocta branding in yellow emblazons the chest, while L’Art Racing, Nike branding and other NOCTA symbols populate the sleeves, chest, sides, and back. The back features a large diagonal placement of the Nocta Do Road logo and the angel icon.




Athletic brands and hip hop artists have long entertained mutual inspiration. Nike teamed up with hip hop superstar Drake under the moniker Nike x NOCTA to design wearable apparel essentials. The collection is known for its branding symbols placed throughout the garment, a design philosophy NOCTA plays up by taking inspiration from racing clothing.




Our experts feel that the best feature of the Racing Jacket is its vibrant blue color palette, which is both eye catching and a deviation from traditional racing colors. The Nike x NOCTA L'Art Racing Jacket Deep Royal Blue/Racer Blue/Phantom released on April 26, 2024, and retailed at $310.",435,Deep Royal Blue/Racer Blue/Phantom,https://images.stockx.com/images/Nike-x-NOCTA-LArt-Racing-Jacket-Deep-Royal-Blue-Racer-Blue-Phantom.jpg?fit=fill&bg=FFFFFF&w=576&h=384&fm=avif&auto=compress&dpr=2&trim=color&updated_at=1713802964&q=60,Nike Apparel
1720555697-35,https://stockx.com/sneakers/most-popular,Apparel,https://stockx.com/apparel,Jordan x Travis Scott T-shirt BrownLowest AskCA$103,https://stockx.com/jordan-x-travis-scott-t-shirt-brown,Jordan x Travis Scott T-shirt,NA,103,NA,https://images.stockx.com/images/Jordan-x-Travis-Scott-T-shirt-Brown-2.jpg?fit=fill&bg=FFFFFF&w=576&h=384&fm=avif&auto=compress&dpr=2&trim=color&updated_at=1715779610&q=60,Nike Apparel
1720555700-36,https://stockx.com/sneakers/most-popular,Apparel,https://stockx.com/apparel,Supreme Ducati Logo Tee BlackLowest AskCA$158,https://stockx.com/supreme-ducati-logo-tee-black,Supreme Ducati Logo Tee,NA,158,NA,https://images.stockx.com/images/Supreme-Ducati-Logo-Tee-Black.jpg?fit=fill&bg=FFFFFF&w=576&h=384&fm=avif&auto=compress&dpr=2&trim=color&updated_at=1717076725&q=60,Supreme
