web-scraper-order,web-scraper-start-url,category-link,category-link-href,subcategory-sneakers,subcategory-sneakers-href,product-sneakers-link,product-sneakers-link-href,product_sneakers_name,product_sneakers_price,product_sneakers_description,product_sneakers_image-src,product_sneakers_style,,,
1720489249-11,https://stockx.com/collectibles,Designer,https://stockx.com/accessories,Yeezy,https://stockx.com/yeezy,adidas Yeezy 700 V3 AzaelLowest AskCA$289,https://stockx.com/adidas-yeezy-boost-700-v3-azael,adidas Yeezy 700 V3Azael (2019/2022/2023),289.00,"Yeezy introduces a new variation of the 700 with the Yeezy 700 V3 Azael, now available on StockX. The third incarnation of the Yeezy 700 is one of the most sophisticated designs we’ve seen from the ongoing collaborations, playing with shape, line, texture, and even expectations. The outer shell is reminiscent of a race car and an astronaut’s suit with a sole unit that feels progressive and substantial. 




This 700 V3 is composed of an azael upper composed of monofilament engineered mesh with RPU overlays for structure and durability. The RPU cage has glow-in-the-dark features, along with 3M reflective detailing on the toe. The EVA midsole and herringbone rubber outsole completes the design. These sneakers released in December of 2019 and retailed for $200.",https://images.stockx.com/360/adidas-Yeezy-700-V3-Azael/Images/adidas-Yeezy-700-V3-Azael/Lv2/img01.jpg?fm=avif&auto=compress&w=576&dpr=2&updated_at=1635437221&h=384&q=60,FW4980,,,
1720489252-12,https://stockx.com/collectibles,Sneakers,https://stockx.com/accessories,Yeezy,https://stockx.com/yeezy,adidas Yeezy Desert Boot OilLowest AskCA$247,https://stockx.com/adidas-yeezy-desert-boot-oil,adidas Yeezy Desert BootOil,247.00,"Compliment the Coachella fit with the adidas Yeezy Desert Boot Oil. This Yeezy Boot comes with an oil upper, oil midsole, and an oil sole. These sneakers released in April 2019 and retailed for $200. Buy some fresh boots for Sunday Service, right here on StockX.",https://images.stockx.com/360/adidas-Yeezy-Desert-Boot-Oil/Images/adidas-Yeezy-Desert-Boot-Oil/Lv2/img01.jpg?fm=avif&auto=compress&w=576&dpr=2&updated_at=1635167781&h=384&q=60,EG6463,,,
1720489255-13,https://stockx.com/collectibles,Sneakers,https://stockx.com/accessories,Yeezy,https://stockx.com/yeezy,adidas Yeezy Foam RNR Onyx (Kids) (2022/2024)Lowest AskCA$64,https://stockx.com/adidas-yeezy-foam-rnnr-onyx-kids,adidas Yeezy Foam RNROnyx (Kids) (2022/2024),64.00,"The futuristic clog receives a muted, one-note makeover in the adidas Yeezy Foam RNNR Kids ""Onyx.""




 The molded upper is made of black injected EVA foam and has strategically placed vents all over the vamp and side sections for increased ventilation and comfort. The footbed includes a top layer that is soft and textured for ease of stepping in. Only the adidas logo, which has a wavy traction pattern for multi-surface grip, is used for exterior branding.




The adidas Yeezy Foam RNNR Onyx Kids was originally released in June 2022, at $60 and in March 2024, at a retail price of $65.",https://images.stockx.com/360/adidas-Yeezy-Foam-RNNR-Onyx-Kids/Images/adidas-Yeezy-Foam-RNNR-Onyx-Kids/Lv2/img01.jpg?fm=avif&auto=compress&w=576&dpr=2&updated_at=1655879241&h=384&q=60,HP5347,,,
1720489258-14,https://stockx.com/collectibles,Sneakers,https://stockx.com/accessories,Yeezy,https://stockx.com/yeezy,adidas Yeezy Boost 350 V2 Steel GreyLowest AskCA$320,https://stockx.com/adidas-yeezy-boost-350-v2-steel-grey,adidas Yeezy Boost 350 V2Steel Grey,320.00,"The adidas Yeezy Boost 350 V2 Steel Gray paints this classic Yeezy silhouette in a gray-on-gray colorway with a tonal rubber outsole.




This sneaker was released after Ye, formally known as Kanye West, and adidas ended their partnership. The upper is made of breathable PrimeKnit, which creates a bootie-like fit and conforms to the foot’s shape. A semi-translucent strip of knit material runs across the side panel and allows the foot to breathe. The knit in this area is slightly looser than on other parts of the upper. A ribbed TPU cage wraps around the full-length Boost midsole. Although the TPU cage comes in Steel Gray, its texture adds contrast to the shoe’s design.




Our experts at StockX like the heel pull tab, which helps the wearer put on and take off the shoe. The adidas Yeezy Boost 350 V2 Steel Gray was released on February 29th, 2024, and retailed at $230.",https://images.stockx.com/360/adidas-Yeezy-Boost-350-V2-Steel-Grey/Images/adidas-Yeezy-Boost-350-V2-Steel-Grey/Lv2/img01.jpg?fm=avif&auto=compress&w=576&dpr=2&updated_at=1710145342&h=384&q=60,IF3219,,,
1720489261-15,https://stockx.com/collectibles,Sneakers,https://stockx.com/accessories,Yeezy,https://stockx.com/yeezy,adidas Yeezy Boost 350 V2 SaltLowest AskCA$188,https://stockx.com/adidas-yeezy-boost-350-v2-salt,adidas Yeezy Boost 350 V2Salt,188.00,"The adidas Yeezy Boost 350 V2 Jade Ash is a collaboration design that features a monochromatic Primeknit upper with a Boost sole underneath.




This  Jade Ash sneaker by adidas and Yeezy  has an upper that is crafted from Primeknit and is available in the salt colorway, with an intersection of black contrasting 3-Stripe on its lateral side with an SPLY-350 lettering. The shoe comes with ribbed salt Boost soles underneath for traction and cushioning. It also features matching salt laces.




The adidas Yeezy Boost 350 V2 Jade Ash was first released on the 22nd of October 2022, and it had a suggested retail price of $230.",https://images.stockx.com/360/adidas-Yeezy-Boost-350-V2-Jade-Ash/Images/adidas-Yeezy-Boost-350-V2-Jade-Ash/Lv2/img01.jpg?fm=avif&auto=compress&w=576&dpr=2&updated_at=1705912122&h=384&q=60,HQ2060,,,
1720489264-16,https://stockx.com/collectibles,Sneakers,https://stockx.com/accessories,Yeezy,https://stockx.com/yeezy,adidas Yeezy Boost 350 V2 MX Dark SaltLowest AskCA$239,https://stockx.com/adidas-yeezy-boost-350-v2-mx-dark-salt,adidas Yeezy Boost 350 V2MX Dark Salt,239.00,"Released on August 21, 2023, the adidas Yeezy Boost 350 V2 MX Dark Salt is more than just a sneaker; it's a statement in style and comfort.




A contrasting mix of grey and black shades adorn the upper. This blend not only exudes a unique aesthetic but signifies the contemporary flair of the Yeezy lineage. Paired with the signature outsole and side stripe this sneaker is an easy to style classic. The cushioned Boost midsole cradles your foot, and creates a comfortable wear for every day use.




The adidas Yeezy Boost 350 V2 MX Dark Salt came with a price tag of $230. A must-have for every sneaker aficionado. Get your pair on StockX now.",https://images.stockx.com/360/adidas-Yeezy-Boost-350-V2-MX-Dark-Salt/Images/adidas-Yeezy-Boost-350-V2-MX-Dark-Salt/Lv2/img01.jpg?fm=avif&auto=compress&w=576&dpr=2&updated_at=1694442126&h=384&q=60,ID4811,,,
1720489266-17,https://stockx.com/collectibles,Sneakers,https://stockx.com/accessories,Yeezy,https://stockx.com/yeezy,adidas Yeezy Boost 350 Turtledove (2022)Lowest AskCA$339,https://stockx.com/adidas-yeezy-boost-350-turtle-dove-2022,adidas Yeezy Boost 350Turtledove (2022),339.00,"Seven years following its 2015 debut, the iconic adidas Yeezy Boost 350 Turtle Dove made its return.




While the adidas Yeezy Boost 350 Turtle Dove (2022) does arrive with the same brown and grey patterned Primeknit upper, rope laces, and grooved Boost sole as the original release, there are some minor differences. The 2022 iteration is packaged in an updated box and features an upgraded outsole, built for daily wear.




The adidas Yeezy Boost 350 Turtle Dove (2022) released in August of 2022 and retailed for $230.




To shop the original adidas Yeezy Boost 350 Turtle Dove, click here.",https://images.stockx.com/360/adidas-Yeezy-Boost-350-Turtle-Dove-2022/Images/adidas-Yeezy-Boost-350-Turtle-Dove-2022/Lv2/img01.jpg?fm=avif&auto=compress&w=576&dpr=2&updated_at=1705912168&h=384&q=60,AQ4832,,,
1720489269-18,https://stockx.com/collectibles,Sneakers,https://stockx.com/accessories,Yeezy,https://stockx.com/yeezy,adidas Yeezy Boost 350 V2 Beluga ReflectiveLowest AskCA$221,https://stockx.com/adidas-yeezy-boost-350-v2-beluga-reflective,adidas Yeezy Boost 350 V2Beluga Reflective,221.00,"One of Yeezy's most celebrated designs received a reflective makeover with the adidas Yeezy Boost 350 V2 Beluga Reflective.




The adidas Yeezy Boost 350 V2 Beluga Reflective builds off of the original Beluga colorway by adding reflective qualities and speckled orange accents to its Primeknit upper. Signature details like a Boost sole and orange side stripe complete the design.




The adidas Yeezy Boost 350 V2 Beluga Reflective released in December of 2021 and retailed for $240.",https://images.stockx.com/360/adidas-Yeezy-Boost-350-V2-Beluga-Reflective/Images/adidas-Yeezy-Boost-350-V2-Beluga-Reflective/Lv2/img01.jpg?fm=avif&auto=compress&w=576&dpr=2&updated_at=1703860113&h=384&q=60,GW1229,,,
1720489271-19,https://stockx.com/collectibles,Sneakers,https://stockx.com/accessories,Yeezy,https://stockx.com/yeezy,adidas Yeezy Foam RNR CarbonLowest AskCA$127,https://stockx.com/adidas-yeezy-foam-rnr-carbon,adidas Yeezy Foam RNRCarbon,127.00,"The adidas Yeezy Foam RNR Carbon, released on August 8, 2023, continues to push the boundaries of sneaker design.




adidas utilized a robust blend of foam and rubber to construct the Yeezy Foam RNR, exhibiting a slick aesthetic in a striking Carbon colorway. The shoe's innovative one-piece design delivers unparalleled comfort, while strategic perforations ensure superior breathability. This isn't just footwear, it's a nod to the relentless innovation that defines the Yeezy brand.




Bold, and supremely comfortable, the adidas Yeezy Foam RNR Carbon was introduced on August 8, 2023, at a retail price of $80.",https://images.stockx.com/360/adidas-Yeezy-Foam-RNR-Carbon/Images/adidas-Yeezy-Foam-RNR-Carbon/Lv2/img01.jpg?fm=avif&auto=compress&w=576&dpr=2&updated_at=1691763798&h=384&q=60,IG5349,,,
1720489274-20,https://stockx.com/collectibles,Sneakers,https://stockx.com/accessories,Yeezy,https://stockx.com/yeezy,adidas Yeezy Boost 350 V2 Black Red (2017/2020)Lowest AskCA$267,https://stockx.com/adidas-yeezy-boost-350-v2-core-black-red-2017,adidas Yeezy Boost 350 V2Black Red (2017/2020),267.00,"The adidas Yeezy Boost 350 V2 Black Red is one of the first original colorways to drop after the silouhette’s debut in 2016. Despite its original 2017 release, the 350 V2 Black Red restocked in 2020, giving fans a second chance at grabbing a pair at retail.




The adidas Yeezy 350 V2 Black Red features familiar style cues that made the silhouette popular today. The upper consists of black Primeknit material for breathability. A black ribbed midsole encases an entire BOOST cushioning system for added comfort. Lastly, signature ""SPLY-350"" is knitted along the lateral side of each pair. 




The adidas Yeezy 350 V2 originally released in February of 2017 and retailed for $220.




PLEASE NOTE: This page is for the original and restock, so production dates may vary.",https://images.stockx.com/360/adidas-Yeezy-Boost-350-V2-Core-Black-Red-2017/Images/adidas-Yeezy-Boost-350-V2-Core-Black-Red-2017/Lv2/img01.jpg?fm=avif&auto=compress&w=576&dpr=2&updated_at=1704291994&h=384&q=60,CP9652,,,
1720489277-21,https://stockx.com/collectibles,Sneakers,https://stockx.com/accessories,Yeezy,https://stockx.com/yeezy,adidas Yeezy Boost 350 Pirate Black (2023)Lowest AskCA$284,https://stockx.com/adidas-yeezy-boost-350-pirate-black-2022-2023,adidas Yeezy Boost 350Pirate Black (2023),284.00,"Introducing the return of the iconic adidas Yeezy Boost 350 in the Pirate Black colorway. Featuring an all-black primeknit upper, the Pirate Black Yeezy Boost 350 blends high-end streetwear with sleek minimalist design. 

The sneakers boast a full-length Boost midsole, providing unparalleled comfort and performance.Black laces, inner lining, and heel tab complete the monochromatic look, capturing the essence of the original release. Whether you're hitting the streets or hitting the gym, the Yeezy Boost 350 Pirate Black is the ultimate pair of sneakers to express your personal style.

The adidas Yeezy Boost 350 Pirate Black made its triumphant return on June 1, 2023, with a retail price of $230.",https://images.stockx.com/360/adidas-Yeezy-Boost-350-Pirate-Black-2022-2023/Images/adidas-Yeezy-Boost-350-Pirate-Black-2022-2023/Lv2/img01.jpg?fm=avif&auto=compress&w=576&dpr=2&updated_at=1686230492&h=384&q=60,BB5350,,,
1720489279-22,https://stockx.com/collectibles,Sneakers,https://stockx.com/accessories,Yeezy,https://stockx.com/yeezy,adidas Yeezy Slide Flax (2022/2024)Lowest AskCA$118,https://stockx.com/adidas-yeezy-slide-flax,adidas Yeezy SlideFlax (2022/2024),118.00,"The adidas Yeezy Slide Flax is a slip on that takes on a minimalist design and is available in a monochromatic finish in dark beige or Flax color.




The Slide Flax by Yeezy for adidas is made from injected EVA material, and the sandal takes the shape of a one-piece mold. The construction is lightweight with foam compounds for cushioning. The same material extends underfoot, where the slide has a series of horizontal grooves for traction.




The adidas Yeezy Slide Flax was first released on the 22nd of August 2022, with an initial retail price set at $70. The adidas Yeezy Slide Flax was released again on the 20th of March 2024, with a retail price set at $70.",https://images.stockx.com/360/adidas-Yeezy-Slide-Flax/Images/adidas-Yeezy-Slide-Flax/Lv2/img01.jpg?fm=avif&auto=compress&w=576&dpr=2&updated_at=1661869396&h=384&q=60,FZ5896,,,
1720489282-23,https://stockx.com/collectibles,Sneakers,https://stockx.com/accessories,Yeezy,https://stockx.com/yeezy,adidas Yeezy Boost 700 Wave Runner (2017/2023)Lowest AskCA$493,https://stockx.com/adidas-yeezy-wave-runner-700-solid-grey,adidas Yeezy Boost 700Wave Runner (2017/2023),493.00,"The Yeezy 700 Boost Wave Runner is the shoe that led Yeezy's pivot from a sleek, minimal aesthetic to a chunky, 90s inspired one. This was the gateway sneaker between knit runners like the 350 and the grungy skate look of the 550. The Yeezy 700 Wave Runner features a grey mesh and leather upper with black suede overlays and teal mesh underlays. At the base, a thick Boost sole and contrasting hits of orange complete the design.




The adidas Yeezy Boost 700 Wave Runner originally released in November of 2017, and most recently re-released in March of 2022 for a retail price of $300.",https://images.stockx.com/360/adidas-Yeezy-Wave-Runner-700-Solid-Grey/Images/adidas-Yeezy-Wave-Runner-700-Solid-Grey/Lv2/img01.jpg?fm=avif&auto=compress&w=576&dpr=2&updated_at=1635255057&h=384&q=60,B75571,,,
1720489284-24,https://stockx.com/collectibles,Sneakers,https://stockx.com/accessories,Yeezy,https://stockx.com/yeezy,adidas Yeezy Boost 350 V2 Static (Non-Reflective)Lowest AskCA$186,https://stockx.com/adidas-yeezy-boost-350-v2-static,adidas Yeezy Boost 350 V2Static (Non-Reflective) (2018/2023),186.00,Electrify your sneaker rotation with the adidas Yeezy Boost 350 V2 Static. This Yeezy 350 V2 comes with a grey and white upper and a white sole. These sneakers released in December 2018 and retailed for $220. You can see what socks you’re wearing in this shoe…so please Buy them now on StockX.,https://images.stockx.com/360/adidas-Yeezy-Boost-350-V2-Static/Images/adidas-Yeezy-Boost-350-V2-Static/Lv2/img01.jpg?fm=avif&auto=compress&w=576&dpr=2&updated_at=1708042620&h=384&q=60,EF2905,,,
1720489287-25,https://stockx.com/collectibles,Sneakers,https://stockx.com/accessories,Yeezy,https://stockx.com/yeezy,YZY Pods BlackLowest AskCA$40,https://stockx.com/yeezy-pod-black,YZY PodsBlack,40.00,"DISCLAIMER: The YZY Pods Black comes in three sizes 1, 2 & 3. The sizes listed use updated US and EU conversions directly from the manufacturer. Please note that the Yeezy Pod Black runs slightly big, so if you are between sizes, it is best to size down.",https://images.stockx.com/360/Yeezy-Pod-Black/Images/Yeezy-Pod-Black/Lv2/img01.jpg?fm=avif&auto=compress&w=576&dpr=2&updated_at=1709195438&h=384&q=60,YZYPODS-BLK,,,
1720489289-26,https://stockx.com/collectibles,Sneakers,https://stockx.com/accessories,Yeezy,https://stockx.com/yeezy,adidas Yeezy Boost 350 V2 ZebraLowest AskCA$324,https://stockx.com/adidas-yeezy-boost-350-v2-white-core-black-red,adidas Yeezy Boost 350 V2Zebra (2017/2022/2023),324.00,"Debuted in 2017, the adidas Yeezy Boost 350 V2 Zebra is known as one of the most renowned colorways in the Yeezy line. It features a white and black marbled Primeknit upper with a white side-stripe and red ""SPLY-350"" text. At the base, a cushioned Boost sole provides comfort and support.




The adidas Yeezy Boost 350 V2 Zebra released in February of 2017 and retailed for $220.",https://images.stockx.com/360/adidas-Yeezy-Boost-350-V2-Zebra/Images/adidas-Yeezy-Boost-350-V2-Zebra/Lv2/img01.jpg?fm=avif&auto=compress&w=576&dpr=2&updated_at=1703165447&h=384&q=60,CP9654,,,
1720489292-27,https://stockx.com/collectibles,Sneakers,https://stockx.com/accessories,Yeezy,https://stockx.com/yeezy,adidas Yeezy Boost 350 V2 BoneLowest AskCA$338,https://stockx.com/adidas-yeezy-boost-350-v2-bone,adidas Yeezy Boost 350 V2Bone,338.00,"The adidas Yeezy Boost 350 V2 Bone features a triple white Primeknit upper with mesh side stripes and canvas heel tabs. At the base, a semi-translucent sole with Boost technology completes the design.




The adidas Yeezy Boost 350 V2 Bone released in March of 2022 and retailed for $230.",https://images.stockx.com/360/adidas-Yeezy-Boost-350-V2-Pure-Oat/Images/adidas-Yeezy-Boost-350-V2-Pure-Oat/Lv2/img01.jpg?fm=avif&auto=compress&w=576&dpr=2&updated_at=1703086092&h=384&q=60,HQ6316,,,
1720489294-28,https://stockx.com/collectibles,Sneakers,https://stockx.com/accessories,Yeezy,https://stockx.com/yeezy,adidas Yeezy Foam RNR MX CinderLowest AskCA$139,https://stockx.com/adidas-yeezy-foam-rnnr-mx-brown-blue,adidas Yeezy Foam RNRMX Cinder,139.00,"The adidas Yeezy Foam RNNR MX Cinder is where high fashion meets innovative comfort. Wrapped in a MX Cinder colorway, this pair offers a unique combination of dark, earthy hues, giving it a versatile appeal that's equal parts streetwear-ready and avant-garde.

Constructed with a unique foam compound, the Yeezy Foam RNNR conforms to your foot for unparalleled comfort, while its distinctive, porous design gives off an out-of-this-world vibe. This sneaker pushes the boundaries of traditional footwear aesthetics and function, making it a must-have for trendsetters.With a fashion-forward design, the adidas Yeezy Foam RNNR MX Cinder not only elevates your style but promises ultimate comfort in every step. Take your sneaker game into the future.

The adidas Yeezy Foam RNNR MX Cinder released on May 31, 2023, with a retail price of $90.",https://images.stockx.com/360/adidas-Yeezy-Foam-RNNR-MX-Brown-Blue/Images/adidas-Yeezy-Foam-RNNR-MX-Brown-Blue/Lv2/img01.jpg?fm=avif&auto=compress&w=576&dpr=2&updated_at=1686137075&h=384&q=60,ID4126,,,
